term,definition,category,example_usage
"Escrow (variant 163)","Financial concept related to escrow in the context of valuation operations and analysis","valuation","Applied escrow analysis in valuation reporting"
"Float (variant 164)","Financial concept related to float in the context of rates operations and analysis","rates","Applied float analysis in rates reporting"
"Goodwill (variant 165)","Financial concept related to goodwill in the context of lending operations and analysis","lending","Applied goodwill analysis in lending reporting"
"Inflation Rate (variant 166)","Financial concept related to inflation rate in the context of insurance operations and analysis","insurance","Applied inflation rate analysis in insurance reporting"
"Junk Bond (variant 167)","Financial concept related to junk bond in the context of tax operations and analysis","tax","Applied junk bond analysis in tax reporting"
"Kurtosis (variant 168)","Financial concept related to kurtosis in the context of accounting operations and analysis","accounting","Applied kurtosis analysis in accounting reporting"
"Liquidity (variant 169)","Financial concept related to liquidity in the context of trading operations and analysis","trading","Applied liquidity analysis in trading reporting"
"Margin Call (variant 170)","Financial concept related to margin call in the context of risk operations and analysis","risk","Applied margin call analysis in risk reporting"
"Notional Value (variant 171)","Financial concept related to notional value in the context of compliance operations and analysis","compliance","Applied notional value analysis in compliance reporting"
"Open Interest (variant 172)","Financial concept related to open interest in the context of investment operations and analysis","investment","Applied open interest analysis in investment reporting"
"Par Value (variant 173)","Financial concept related to par value in the context of debt operations and analysis","debt","Applied par value analysis in debt reporting"
"Quantitative Easing (variant 174)","Financial concept related to quantitative easing in the context of strategy operations and analysis","strategy","Applied quantitative easing analysis in strategy reporting"
"Risk Premium (variant 175)","Financial concept related to risk premium in the context of valuation operations and analysis","valuation","Applied risk premium analysis in valuation reporting"
"Securitization (variant 176)","Financial concept related to securitization in the context of rates operations and analysis","rates","Applied securitization analysis in rates reporting"
"Theta Decay (variant 177)","Financial concept related to theta decay in the context of lending operations and analysis","lending","Applied theta decay analysis in lending reporting"
"Underperform (variant 178)","Financial concept related to underperform in the context of insurance operations and analysis","insurance","Applied underperform analysis in insurance reporting"
"Volatility Index (variant 179)","Financial concept related to volatility index in the context of tax operations and analysis","tax","Applied volatility index analysis in tax reporting"
"Yield Curve (variant 180)","Financial concept related to yield curve in the context of accounting operations and analysis","accounting","Applied yield curve analysis in accounting reporting"
"Solvency Ratio (variant 181)","Financial concept related to solvency ratio in the context of trading operations and analysis","trading","Applied solvency ratio analysis in trading reporting"
"Write-Off (variant 182)","Financial concept related to write-off in the context of risk operations and analysis","risk","Applied write-off analysis in risk reporting"
"Underwriting (variant 183)","Financial concept related to underwriting in the context of compliance operations and analysis","compliance","Applied underwriting analysis in compliance reporting"
"Venture Capital (variant 184)","Financial concept related to venture capital in the context of investment operations and analysis","investment","Applied venture capital analysis in investment reporting"
"Warrant (variant 185)","Financial concept related to warrant in the context of debt operations and analysis","debt","Applied warrant analysis in debt reporting"
"Zero-Coupon Bond (variant 186)","Financial concept related to zero-coupon bond in the context of strategy operations and analysis","strategy","Applied zero-coupon bond analysis in strategy reporting"
"Annuity (variant 187)","Financial concept related to annuity in the context of valuation operations and analysis","valuation","Applied annuity analysis in valuation reporting"
"Bear Market (variant 188)","Financial concept related to bear market in the context of rates operations and analysis","rates","Applied bear market analysis in rates reporting"
"Bull Market (variant 189)","Financial concept related to bull market in the context of lending operations and analysis","lending","Applied bull market analysis in lending reporting"
"Call Option (variant 190)","Financial concept related to call option in the context of insurance operations and analysis","insurance","Applied call option analysis in insurance reporting"
"Put Option (variant 191)","Financial concept related to put option in the context of tax operations and analysis","tax","Applied put option analysis in tax reporting"
"Dividend Yield (variant 192)","Financial concept related to dividend yield in the context of accounting operations and analysis","accounting","Applied dividend yield analysis in accounting reporting"
"Escrow (variant 193)","Financial concept related to escrow in the context of trading operations and analysis","trading","Applied escrow analysis in trading reporting"
"Float (variant 194)","Financial concept related to float in the context of risk operations and analysis","risk","Applied float analysis in risk reporting"
"Goodwill (variant 195)","Financial concept related to goodwill in the context of compliance operations and analysis","compliance","Applied goodwill analysis in compliance reporting"
"Inflation Rate (variant 196)","Financial concept related to inflation rate in the context of investment operations and analysis","investment","Applied inflation rate analysis in investment reporting"
"Junk Bond (variant 197)","Financial concept related to junk bond in the context of debt operations and analysis","debt","Applied junk bond analysis in debt reporting"
"Kurtosis (variant 198)","Financial concept related to kurtosis in the context of strategy operations and analysis","strategy","Applied kurtosis analysis in strategy reporting"
"Liquidity (variant 199)","Financial concept related to liquidity in the context of valuation operations and analysis","valuation","Applied liquidity analysis in valuation reporting"
"Margin Call (variant 200)","Financial concept related to margin call in the context of rates operations and analysis","rates","Applied margin call analysis in rates reporting"
"Notional Value (variant 201)","Financial concept related to notional value in the context of lending operations and analysis","lending","Applied notional value analysis in lending reporting"
"Open Interest (variant 202)","Financial concept related to open interest in the context of insurance operations and analysis","insurance","Applied open interest analysis in insurance reporting"
"Par Value (variant 203)","Financial concept related to par value in the context of tax operations and analysis","tax","Applied par value analysis in tax reporting"
"Quantitative Easing (variant 204)","Financial concept related to quantitative easing in the context of accounting operations and analysis","accounting","Applied quantitative easing analysis in accounting reporting"
"Risk Premium (variant 205)","Financial concept related to risk premium in the context of trading operations and analysis","trading","Applied risk premium analysis in trading reporting"
"Securitization (variant 206)","Financial concept related to securitization in the context of risk operations and analysis","risk","Applied securitization analysis in risk reporting"
"Theta Decay (variant 207)","Financial concept related to theta decay in the context of compliance operations and analysis","compliance","Applied theta decay analysis in compliance reporting"
"Underperform (variant 208)","Financial concept related to underperform in the context of investment operations and analysis","investment","Applied underperform analysis in investment reporting"
"Volatility Index (variant 209)","Financial concept related to volatility index in the context of debt operations and analysis","debt","Applied volatility index analysis in debt reporting"
"Yield Curve (variant 210)","Financial concept related to yield curve in the context of strategy operations and analysis","strategy","Applied yield curve analysis in strategy reporting"
"Solvency Ratio (variant 211)","Financial concept related to solvency ratio in the context of valuation operations and analysis","valuation","Applied solvency ratio analysis in valuation reporting"
"Write-Off (variant 212)","Financial concept related to write-off in the context of rates operations and analysis","rates","Applied write-off analysis in rates reporting"
"Underwriting (variant 213)","Financial concept related to underwriting in the context of lending operations and analysis","lending","Applied underwriting analysis in lending reporting"
"Venture Capital (variant 214)","Financial concept related to venture capital in the context of insurance operations and analysis","insurance","Applied venture capital analysis in insurance reporting"
"Warrant (variant 215)","Financial concept related to warrant in the context of tax operations and analysis","tax","Applied warrant analysis in tax reporting"
"Zero-Coupon Bond (variant 216)","Financial concept related to zero-coupon bond in the context of accounting operations and analysis","accounting","Applied zero-coupon bond analysis in accounting reporting"
"Annuity (variant 217)","Financial concept related to annuity in the context of trading operations and analysis","trading","Applied annuity analysis in trading reporting"
"Bear Market (variant 218)","Financial concept related to bear market in the context of risk operations and analysis","risk","Applied bear market analysis in risk reporting"
"Bull Market (variant 219)","Financial concept related to bull market in the context of compliance operations and analysis","compliance","Applied bull market analysis in compliance reporting"
"Call Option (variant 220)","Financial concept related to call option in the context of investment operations and analysis","investment","Applied call option analysis in investment reporting"
"Put Option (variant 221)","Financial concept related to put option in the context of debt operations and analysis","debt","Applied put option analysis in debt reporting"
"Dividend Yield (variant 222)","Financial concept related to dividend yield in the context of strategy operations and analysis","strategy","Applied dividend yield analysis in strategy reporting"
"Escrow (variant 223)","Financial concept related to escrow in the context of valuation operations and analysis","valuation","Applied escrow analysis in valuation reporting"
"Float (variant 224)","Financial concept related to float in the context of rates operations and analysis","rates","Applied float analysis in rates reporting"
"Goodwill (variant 225)","Financial concept related to goodwill in the context of lending operations and analysis","lending","Applied goodwill analysis in lending reporting"
"Inflation Rate (variant 226)","Financial concept related to inflation rate in the context of insurance operations and analysis","insurance","Applied inflation rate analysis in insurance reporting"
"Junk Bond (variant 227)","Financial concept related to junk bond in the context of tax operations and analysis","tax","Applied junk bond analysis in tax reporting"
"Kurtosis (variant 228)","Financial concept related to kurtosis in the context of accounting operations and analysis","accounting","Applied kurtosis analysis in accounting reporting"
"Liquidity (variant 229)","Financial concept related to liquidity in the context of trading operations and analysis","trading","Applied liquidity analysis in trading reporting"
"Margin Call (variant 230)","Financial concept related to margin call in the context of risk operations and analysis","risk","Applied margin call analysis in risk reporting"
"Notional Value (variant 231)","Financial concept related to notional value in the context of compliance operations and analysis","compliance","Applied notional value analysis in compliance reporting"
"Open Interest (variant 232)","Financial concept related to open interest in the context of investment operations and analysis","investment","Applied open interest analysis in investment reporting"
"Par Value (variant 233)","Financial concept related to par value in the context of debt operations and analysis","debt","Applied par value analysis in debt reporting"
"Quantitative Easing (variant 234)","Financial concept related to quantitative easing in the context of strategy operations and analysis","strategy","Applied quantitative easing analysis in strategy reporting"
"Risk Premium (variant 235)","Financial concept related to risk premium in the context of valuation operations and analysis","valuation","Applied risk premium analysis in valuation reporting"
"Securitization (variant 236)","Financial concept related to securitization in the context of rates operations and analysis","rates","Applied securitization analysis in rates reporting"
"Theta Decay (variant 237)","Financial concept related to theta decay in the context of lending operations and analysis","lending","Applied theta decay analysis in lending reporting"
"Underperform (variant 238)","Financial concept related to underperform in the context of insurance operations and analysis","insurance","Applied underperform analysis in insurance reporting"
"Volatility Index (variant 239)","Financial concept related to volatility index in the context of tax operations and analysis","tax","Applied volatility index analysis in tax reporting"
"Yield Curve (variant 240)","Financial concept related to yield curve in the context of accounting operations and analysis","accounting","Applied yield curve analysis in accounting reporting"
"Solvency Ratio (variant 241)","Financial concept related to solvency ratio in the context of trading operations and analysis","trading","Applied solvency ratio analysis in trading reporting"
"Write-Off (variant 242)","Financial concept related to write-off in the context of risk operations and analysis","risk","Applied write-off analysis in risk reporting"
