code,description,category,common_symptoms,typical_treatment
"C59.8","Condition related to endocrinology (variant 158)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"D60.9","Condition related to gastroenterology (variant 159)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"E61.0","Condition related to psychiatry (variant 160)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"F62.1","Condition related to orthopedics (variant 161)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"G63.2","Condition related to dermatology (variant 162)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"H64.3","Condition related to nephrology (variant 163)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"I65.4","Condition related to rheumatology (variant 164)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"J66.5","Condition related to infectious_disease (variant 165)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"K67.6","Condition related to pediatrics (variant 166)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"L68.7","Condition related to emergency (variant 167)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"M69.8","Condition related to cardiology (variant 168)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"N70.9","Condition related to neurology (variant 169)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"O71.0","Condition related to oncology (variant 170)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"P72.1","Condition related to pulmonology (variant 171)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"Q73.2","Condition related to endocrinology (variant 172)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"R74.3","Condition related to gastroenterology (variant 173)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"S75.4","Condition related to psychiatry (variant 174)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"T76.5","Condition related to orthopedics (variant 175)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"U77.6","Condition related to dermatology (variant 176)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"V78.7","Condition related to nephrology (variant 177)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"W79.8","Condition related to rheumatology (variant 178)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"X80.9","Condition related to infectious_disease (variant 179)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"Y81.0","Condition related to pediatrics (variant 180)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"Z82.1","Condition related to emergency (variant 181)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"A83.2","Condition related to cardiology (variant 182)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"B84.3","Condition related to neurology (variant 183)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"C85.4","Condition related to oncology (variant 184)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"D86.5","Condition related to pulmonology (variant 185)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"E87.6","Condition related to endocrinology (variant 186)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"F88.7","Condition related to gastroenterology (variant 187)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"G89.8","Condition related to psychiatry (variant 188)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"H90.9","Condition related to orthopedics (variant 189)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"I91.0","Condition related to dermatology (variant 190)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"J92.1","Condition related to nephrology (variant 191)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"K93.2","Condition related to rheumatology (variant 192)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"L94.3","Condition related to infectious_disease (variant 193)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"M95.4","Condition related to pediatrics (variant 194)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"N96.5","Condition related to emergency (variant 195)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"O97.6","Condition related to cardiology (variant 196)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"P98.7","Condition related to neurology (variant 197)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"Q00.8","Condition related to oncology (variant 198)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"R01.9","Condition related to pulmonology (variant 199)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"S02.0","Condition related to endocrinology (variant 200)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"T03.1","Condition related to gastroenterology (variant 201)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"U04.2","Condition related to psychiatry (variant 202)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"V05.3","Condition related to orthopedics (variant 203)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"W06.4","Condition related to dermatology (variant 204)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"X07.5","Condition related to nephrology (variant 205)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"Y08.6","Condition related to rheumatology (variant 206)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"Z09.7","Condition related to infectious_disease (variant 207)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"A10.8","Condition related to pediatrics (variant 208)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"B11.9","Condition related to emergency (variant 209)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"C12.0","Condition related to cardiology (variant 210)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"D13.1","Condition related to neurology (variant 211)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"E14.2","Condition related to oncology (variant 212)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"F15.3","Condition related to pulmonology (variant 213)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"G16.4","Condition related to endocrinology (variant 214)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"H17.5","Condition related to gastroenterology (variant 215)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"I18.6","Condition related to psychiatry (variant 216)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"J19.7","Condition related to orthopedics (variant 217)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"K20.8","Condition related to dermatology (variant 218)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"L21.9","Condition related to nephrology (variant 219)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"M22.0","Condition related to rheumatology (variant 220)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"N23.1","Condition related to infectious_disease (variant 221)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"O24.2","Condition related to pediatrics (variant 222)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"P25.3","Condition related to emergency (variant 223)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"Q26.4","Condition related to cardiology (variant 224)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"R27.5","Condition related to neurology (variant 225)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"S28.6","Condition related to oncology (variant 226)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"T29.7","Condition related to pulmonology (variant 227)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"U30.8","Condition related to endocrinology (variant 228)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"V31.9","Condition related to gastroenterology (variant 229)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"W32.0","Condition related to psychiatry (variant 230)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"X33.1","Condition related to orthopedics (variant 231)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"Y34.2","Condition related to dermatology (variant 232)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"Z35.3","Condition related to nephrology (variant 233)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"A36.4","Condition related to rheumatology (variant 234)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"B37.5","Condition related to infectious_disease (variant 235)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"C38.6","Condition related to pediatrics (variant 236)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"D39.7","Condition related to emergency (variant 237)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"E40.8","Condition related to cardiology (variant 238)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"F41.9","Condition related to neurology (variant 239)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"G42.0","Condition related to oncology (variant 240)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"H43.1","Condition related to pulmonology (variant 241)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"I44.2","Condition related to endocrinology (variant 242)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"J45.3","Condition related to gastroenterology (variant 243)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"K46.4","Condition related to psychiatry (variant 244)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"L47.5","Condition related to orthopedics (variant 245)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"M48.6","Condition related to dermatology (variant 246)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"N49.7","Condition related to nephrology (variant 247)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"O50.8","Condition related to rheumatology (variant 248)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"P51.9","Condition related to infectious_disease (variant 249)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
